Headline,Link,Announcement Date,Artist Names,Start Date,End Date,Number of Shows,Notes
"Comedy Icon Dave Chappelle Announces June 2026 Arena Dates in Baltimore, Detroit, Cleveland, Chicago & San Diego",https://newsroom.livenation.com/news/comedy-icon-dave-chappelle-announces-june-2026-arena-dates-in-baltimore-detroit-cleveland-chicago-san-diego/,,Dave Chappelle,"Jun 12, 2026","Jun 21, 2026",5,"Arena shows in Baltimore, Detroit, Cleveland, Chicago, and San Diego."
Dave Chappelle’s Summer Camp Returns: Bringing Top-Tier Comedy to the Cornfields of Yellow Springs,https://newsroom.livenation.com/news/dave-chappelles-summer-camp-returns-bringing-top-tier-comedy-to-the-cornfields-of-yellow-springs/,,Dave Chappelle,"Jul 01, 2026","Aug 29, 2026",9,Dave Chappelle’s Summer Camp is a highly anticipated summer tradition featuring multiple shows.
Spanish Icon David Bisbal Announces Tour Eternos 2026,https://newsroom.livenation.com/news/spanish-icon-david-bisbal-announces-tour-eternos-2026/,,David Bisbal,"Dec 09, 2026","Dec 19, 2026",6,Tour Eternos 2026 features a reimagined live experience with songs from his upcoming album and greatest hits.
Live Nation’s Summer of Live Continues With 4 Lawn Tickets for $99,https://newsroom.livenation.com/news/live-nations-summer-of-live-continues-with-4-lawn-tickets-for-99/,,Empire of the Sun & Kid Cudi & Logic & G-Eazy,"Jun 17, 2026",,,Summer of Live Lawn 4-pack ticket offer available for select shows.
Eslabon Armado Announces 2026 “AMOR NOCTURNO TOUR”; Tickets on Sale June 12th,https://newsroom.livenation.com/news/eslabon-armado-announces-2026-amor-nocturno-tour-tickets-on-sale-june-12th/,,Eslabon Armado,"Jul 24, 2026",,,Major North American headline run
Fetty Wap Announces 2026 North American Live Run the Nostalgia Tour Kicks Off This June,https://newsroom.livenation.com/news/fetty-wap-announces-2026-north-american-live-run-the-nostalgia-tour-kicks-off-this-june/,,Fetty Wap,"Jun 06, 2026","Dec 06, 2026",15,Nostalgia Tour celebrating classic hits and new music.
Foster the People Announce “Good Mourning Sunshine” North American 2026 Tour,https://newsroom.livenation.com/news/foster-the-people-announce-good-mourning-sunshine-north-american-2026-tour/,,Foster the People,"Sep 09, 2026","Oct 23, 2026",0,Featuring Special Guests Goth Babe and The Beaches on Select Shows
“The Hayley Williams Show” Live in the Americas North & Latin America Tour Announced,https://newsroom.livenation.com/news/the-hayley-williams-show-live-in-the-americas-north-latin-america-tour-announced/,,Hayley Williams,"May 07, 2026","Nov 27, 2026",30,"Tour includes support from Magdalena Bay, Rico Nasty, and Annie DiRusso."
Jason Aldean & Luke Bryan Announce Additional Stadium Headline Dates: The “DOUBLE DOWN TOUR 2026”,https://newsroom.livenation.com/news/jason-aldean-luke-bryan-announce-additional-stadium-headline-dates-the-double-down-tour-2026/,,Jason Aldean & Luke Bryan,"Aug 01, 2026","Dec 11, 2026",4,Additional concerts planned following their co-headline date at UGA’s Sanford Stadium.
Jorge Medina Arrives in the United States With His “Legendario Tour”,https://newsroom.livenation.com/news/jorge-medina-arrives-in-the-united-states-with-his-legendario-tour/,,Jorge Medina,"Aug 07, 2026","Nov 07, 2026",12,Legendario Tour celebrating his musical legacy.
"Karol G Announces Massive New World Tour, “Viajando Por El Mundo Tropitour,” Extending Her Global Dominance",https://newsroom.livenation.com/news/karol-g-announces-massive-new-world-tour-viajando-por-el-mundo-tropitour-extending-her-global-dominance/,,Karol G,"Jul 24, 2026","Jul 24, 2026",39,"Tour spans over 39 stadiums across North America, South America, and Europe."
"KATSEYE Announces 2026 Headline Arena Tour of UK, EU and North America",https://newsroom.livenation.com/news/katseye-announces-2026-headline-arena-tour-of-uk-eu-and-north-america/,,KATSEYE,"Sep 01, 2026","Nov 27, 2026",20,"Headline arena tour across UK, EU, and North America."
2X Grammy® Award Winning Superstar Kehlani Announces the Kehlani World Tour: North America,https://newsroom.livenation.com/news/2x-grammy-award-winning-superstar-kehlani-announces-the-kehlani-world-tour-north-america/,,Kehlani,"Aug 06, 2026","Oct 03, 2026",33,"Special guests Durand Bernarr, Isaia Huron, TheARTI$t, and WASEEL will join as support on select North America dates."
Loathe Announces a Stranger to You North American Tour,https://newsroom.livenation.com/news/loathe-announces-a-stranger-to-you-north-american-tour/,,Loathe,"Sep 19, 2026","Oct 13, 2026",19,Support on the full tour will feature Fleshwater and Prostitute.
Multi-platinum Artists Logic & G-Eazy Announce the Endless Summer Tour Part II With Special Guest Juicy J on Select Dates,https://newsroom.livenation.com/news/multi-platinum-artists-logic-g-eazy-announce-the-endless-summer-tour-part-ii-with-special-guest-juicy-j-on-select-dates/,,Logic & G-Eazy,"Sep 15, 2026","Oct 28, 2026",23,Special guest Juicy J will join on select dates.
Línea Personal Takes “TODO Ø NADA” on the Road With First Headline Tour,https://newsroom.livenation.com/news/linea-personal-takes-todo-o-nada-on-the-road-with-first-headline-tour/,,Línea Personal,"Aug 07, 2026","Oct 18, 2026",16,First U.S. headline tour promoting their album TODO Ø NADA.
Malcolm Todd Announces 2026 North American Tour,https://newsroom.livenation.com/news/malcolm-todd-announces-2026-north-american-tour/,,Malcolm Todd,"Sep 02, 2026",,0,"Tour promoted by Live Nation, featuring venues across North America."
Niall Horan Dinner Party Live on Tour North America 2027 Announced,https://newsroom.livenation.com/news/niall-horan-dinner-party-live-on-tour-north-america-2027-announced/,,Niall Horan,"Mar 17, 2027","May 29, 2027",0,Tour in support of new album 'Dinner Party'.
"Olivia Rodrigo Announces ‘The Unraveled Tour’ Spanning 60+ Dates Across North America, Europe and the UK",https://newsroom.livenation.com/news/olivia-rodrigo-announces-the-unraveled-tour-spanning-60-dates-across-north-america-europe-and-the-uk/,,Olivia Rodrigo,"Sep 25, 2026","Apr 05, 2027",65,"The tour supports her third studio album, you seem pretty sad for a girl so in love."
Omar Courtz Announces New Tour ‘Por Si Mañana No Estoy – USA Tour’ Following Breakthrough Sophomore Album,https://newsroom.livenation.com/news/omar-courtz-announces-new-tour-por-si-manana-no-estoy-usa-tour-following-breakthrough-sophomore-album/,,Omar Courtz,"Aug 19, 2026","Sep 13, 2026",12,First tour to include major arena venues.
Modern Country Festival Strummingbird Announces Huge 2026 Lineup,https://newsroom.livenation.com/news/modern-country-festival-strummingbird-announces-huge-2026-lineup/,,Post Malone & Bailey Zimmerman & Cooper Alan & Stella Lefty & Dexter & The Moonrocks & Brad Cox & Cam & Kaitlin Butts & Noah Rinker & Sons of the East & Briana Dinsdale & Mack Geiger & Max Jackson & Sara Berki & Willie Pake & Lewis Love & Loren Ryan & Sammy White,"Oct 10, 2026","Oct 18, 2026",3,Australia’s largest touring country festival Strummingbird returns with a lineup featuring international heavyweights and homegrown favorites.
Sara Bareilles Returns With New Album and Headline Tour Across North America This Fall,https://newsroom.livenation.com/news/sara-bareilles-returns-with-new-album-and-headline-tour-across-north-america-this-fall/,,Sara Bareilles,"Sep 09, 2026","Oct 19, 2026",12,Good Grief Tour across North America
"Shaboozey, Country’s Genre-Bending Maverick, Announces Sprawling Outlaws Never Die Tour",https://newsroom.livenation.com/news/shaboozey-countrys-genre-bending-maverick-announces-sprawling-outlaws-never-die-tour/,,Shaboozey,"Sep 08, 2026","Oct 27, 2026",20,Tour includes special guests and supports St. Jude Children's Research Hospital.
Soda Stereo Ecos,https://newsroom.livenation.com/news/soda-stereo-ecos/,,Soda Stereo,"Sep 10, 2026","Sep 20, 2026",5,U.S. leg of the groundbreaking ECOS Tour
Suki Waterhouse Maps Out Headlining Loveland Tour Across North America,https://newsroom.livenation.com/news/suki-waterhouse-maps-out-headlining-loveland-tour-across-north-america/,,Suki Waterhouse,"Jul 22, 2026","Oct 17, 2026",20,"The Loveland Tour will feature support from Charlotte Lawrence, Rochelle Jordan, and Love Spells."
The Chicks Announce Taking the Long Way 20th Anniversary Tour,https://newsroom.livenation.com/news/the-chicks-announce-taking-the-long-way-20th-anniversary-tour/,,The Chicks,"Sep 30, 2026","Nov 02, 2026",16,Taking the Long Way 20th Anniversary Tour
Due to Popular Fan Demand the Sinfónico Tour Announces New U.S. Tour Dates,https://newsroom.livenation.com/news/due-to-popular-fan-demand-the-sinfonico-tour-announces-new-u-s-tour-dates/,,Yandel,"Sep 25, 2026","Nov 01, 2026",8,New U.S. tour dates announced due to popular demand.
J-pop Superstars Yoasobi Confirm North American “Never Ending Stories” Headline Tour Powered by Crunchyroll,https://newsroom.livenation.com/news/j-pop-superstars-yoasobi-confirm-north-american-never-ending-stories-headline-tour-powered-by-crunchyroll/,,YOASOBI,"Aug 04, 2026",,,North American 'Never Ending Stories' headline tour.
Álvaro Díaz Announces Omakase Tour Following the Massive Success of Critically Acclaimed Album,https://newsroom.livenation.com/news/alvaro-diaz-announces-omakase-tour-following-the-massive-success-of-critically-acclaimed-album/,,Álvaro Díaz,"Oct 14, 2026","Nov 07, 2026",33,Omakase Tour spanning across major cities in Latin America and the U.S.
