artist,tier,total_shows,arena_shows,amphitheater_shows,theater_shows,club_shows,festival_shows,unique_cities,primary_venue_tier,signal_summary,analyst_note
Latin Music Icon Juanes,1 — Arena-testing now,29,4,3,19,3,1,29,Theater,29 dates (heavy touring); 4 arena shows (testing up); 1 festival; 19 theaters; 29 cities,"Colombian rock legend; 4 arenas + 19 theaters in a 29-date run. Already arena-level in LatAm, the US theater circuit is the expansion front."
Jessie Reyez,2 — First arena dates,52,2,2,24,24,0,51,Theater,52 dates (heavy touring); 2 arena shows (testing up); 24 theaters; 51 cities,"Toronto R&B/pop; 52 dates, 2 arena tests from a 24-theater / 24-club base. Enormous touring volume — the arena tests at this scale signal strong label/agent confidence."
Charley Crockett,2 — First arena dates,48,2,26,13,7,6,47,Amphitheater,48 dates (heavy touring); 2 arena shows (testing up); 6 festival slots; 26 amphitheaters; 13 theaters; 47 cities,Texas country/soul; 48 dates with 26 amphitheaters + 6 festival slots. The amphitheater volume alone puts him at the top of the shed-headliner tier. 2 arena tests are the leading indicator.
Grammy Winner Leon Thomas,2 — First arena dates,48,1,0,19,28,0,48,Club,48 dates (heavy touring); 1 arena shows (testing up); 19 theaters; 48 cities,"R&B producer/artist (SZA, Ariana Grande credits); 48 dates touring aggressively from a club base (28 clubs + 19 theaters). 1 arena test — early but the volume is a bullish signal."
Lamb Of God,2 — First arena dates,37,6,7,14,4,4,37,Theater,37 dates (heavy touring); 6 arena shows (testing up); 4 festival slots; 7 amphitheaters; 14 theaters; 37 cities,Metal veterans in a new touring cycle; 6 arenas + 7 amphitheaters + 4 festivals. The festival billing drives awareness that translates to arena demand.
Mariah the Scientist,2 — First arena dates,36,1,4,17,14,0,36,Theater,36 dates (heavy touring); 1 arena shows (testing up); 17 theaters; 36 cities,"Atlanta R&B; Young Thug's partner, 36 dates with 17 theaters — solidly theater-level with 1 arena test. Next album cycle is the arena catalyst."
Rising R & B Artist Destin Conrad,2 — First arena dates,34,1,0,14,19,0,34,Club,34 dates (heavy touring); 1 arena shows (testing up); 14 theaters; 34 cities,"R&B rising star; 34 dates, transitioning from clubs (19) to theaters (14) with 1 arena test. Classic step-ladder progression."
Ari Lennox,2 — First arena dates,31,1,5,20,5,0,31,Theater,31 dates (heavy touring); 1 arena shows (testing up); 5 amphitheaters; 20 theaters; 31 cities,"Dreamville R&B singer; 31 dates, 20 theaters + 1 arena. Theater-headliner at the top of the jump range."
Dijon,2 — First arena dates,29,1,3,11,13,0,28,Club,29 dates (heavy touring); 1 arena shows (testing up); 11 theaters; 28 cities,"Indie-R&B; 29 dates, 11 theaters + 13 clubs + 1 arena test. Critical darling building a live following market by market."
BLOODYWOOD,2 — First arena dates,28,1,3,14,10,1,27,Theater,28 dates (heavy touring); 1 arena shows (testing up); 1 festival; 14 theaters; 27 cities,Indian metal band; 28 dates across 14 theaters — building a US club/theater circuit from an international viral base. 1 arena test.
Khalid,2 — First arena dates,25,2,15,7,1,0,25,Amphitheater,25 dates (heavy touring); 2 arena shows (testing up); 15 amphitheaters; 25 cities,"R&B; 25 dates, 15 amphitheaters + 2 arena tests. Was arena-level pre-hiatus — this is the comeback gauge."
Arm’s Length,2 — First arena dates,25,1,0,9,15,0,25,Club,25 dates (heavy touring); 1 arena shows (testing up); 9 theaters; 25 cities,
"Yellowcard, New Found Glory & Plain White T’s",2 — First arena dates,24,4,12,5,3,1,24,Amphitheater,24 dates; 4 arena shows (testing up); 1 festival; 12 amphitheaters; 24 cities,
Yungblud,2 — First arena dates,24,3,10,8,2,0,24,Amphitheater,24 dates; 3 arena shows (testing up); 10 amphitheaters; 8 theaters; 24 cities,"UK rock; already arena-level in the UK, 3 US arena tests + 10 amphitheaters. The US arena conversion is the open question."
Lamp,2 — First arena dates,24,2,2,7,12,0,23,Club,24 dates; 2 arena shows (testing up); 23 cities,Japanese city-pop trio; 24 dates with 2 arena tests. Viral TikTok discovery driving a surprising arena-test for an act from a niche genre.
"Thee Sacred Souls, LA LOM & The Womack Sisters",2 — First arena dates,23,5,9,2,2,0,23,Amphitheater,23 dates; 5 arena shows (testing up); 9 amphitheaters; 23 cities,"Daptone Records soul revival; 23 dates, 5 arena shows + 9 amphitheaters. Rapid ascent from small clubs to arena support/co-headline."
Jimmy Eat World To Embark On Bleed American 25th Anniversary Tour,2 — First arena dates,23,3,15,3,0,1,23,Amphitheater,23 dates; 3 arena shows (testing up); 1 festival; 15 amphitheaters; 23 cities,
Nate Smith Hails Long Live Country Rock & ROLL With 2026,2 — First arena dates,23,2,2,10,7,0,22,Theater,23 dates; 2 arena shows (testing up); 10 theaters; 22 cities,"Country; 23 dates, 2 arena tests from a theater/club base. 3 consecutive #1 Country singles — the hit-driven arena ramp is in motion."
Grammy® Winner Doechii,2 — First arena dates,22,3,11,5,3,10,20,Amphitheater,22 dates; 3 arena shows (testing up); 10 festival slots; 11 amphitheaters; 20 cities,Grammy-winning rapper; only 22 headline dates BUT 10 festival slots — outsized festival billing relative to headline tier. The festival-to-arena pipeline is strong here.
BILMURI,2 — First arena dates,21,2,5,6,8,0,21,Club,21 dates; 2 arena shows (testing up); 5 amphitheaters; 21 cities,"Post-hardcore/electronic; 21 dates, 2 arena tests. Niche genre but testing up."
Aminé,"3 — Theater/shed headliner, arena next",41,0,4,16,17,2,38,Club,41 dates (heavy touring); 2 festival; 16 theaters; 38 cities,"Portland rapper; 41 dates, 16 theaters + 17 clubs + 2 festivals. Heavy touring from a club/theater base — no arena tests yet but the volume says the demand is building."
Loathe,"3 — Theater/shed headliner, arena next",25,0,0,10,15,0,25,Club,25 dates (heavy touring); 10 theaters; 25 cities,"UK metalcore; 25 dates, pure theater/club circuit. Building the US market systematically — arena is 2-3 cycles out but the trajectory is clear."
Descendents & Frank Turner & The Sleeping Souls,"3 — Theater/shed headliner, arena next",19,0,2,10,7,0,19,Theater,19 dates; 10 theaters; 19 cities,
Hermanos Espinosa,"3 — Theater/shed headliner, arena next",17,1,1,12,3,0,17,Theater,17 dates; 1 arena shows (testing up); 12 theaters; 17 cities,"Música Mexicana brother duo from McAllen TX; Spotify Artists to Watch 2026. 17 dates, 12 theaters — first LN official US tour. Genre tailwind is massive."
Kany García,"3 — Theater/shed headliner, arena next",16,3,1,10,2,0,16,Theater,16 dates; 3 arena shows (testing up); 10 theaters; 16 cities,"Puerto Rican singer-songwriter; 3 arenas + 10 theaters in 16 dates. Already arena-capable in Latin markets, building the US crossover."
Seven Time Grammy® Nominated R & B Superstar Givēon,"3 — Theater/shed headliner, arena next",16,3,5,7,1,0,16,Theater,16 dates; 3 arena shows (testing up); 5 amphitheaters; 16 cities,
Xavi,4 — Building fast,19,6,2,9,2,1,19,Theater,19 dates; 6 arena shows (testing up); 1 festival; 9 theaters; 19 cities,Regional Mexican artist; 6 arena shows out of 19 total (32% arena already). Genre is the fastest-growing segment in US live — watch closely.
Jack Harlow,4 — Building fast,16,0,2,8,6,0,16,Theater,16 dates; 8 theaters; 16 cities,Louisville rapper; only 16 dates and 0 arenas but 8 theaters. Quiet cycle — the question is whether the brand translates to sustained ticket demand.
"Blessd, The Colombian Urban Superstar",4 — Building fast,16,2,2,8,4,1,16,Theater,16 dates; 2 arena shows (testing up); 1 festival; 8 theaters; 16 cities,"Colombian urban star; 2 arena tests in 16 dates. LatAm-to-US crossover play, similar trajectory to Feid/Karol G 2-3 years ago."
"Grupo Bryndis, Industria Del Amor & Guardianes Del Amor Join Forces To",4 — Building fast,13,1,1,10,1,0,13,Theater,1 arena shows (testing up); 10 theaters,Música Mexicana legacy act with new-generation audience; 1 arena + 10 theaters. Genre-driven demand could push arena routing.
